Age(years),BMR (MJ/day),PAL 1.2 (MJ/day),PAL 1.4 (MJ/day),PAL 1.6 (MJ/day),PAL 1.8 (MJ/day),PAL 2.0 (MJ/day),PAL 2.2 (MJ/day)
3,3.4,4.2,4.9,5.6,6.3,6.9,7.6
4,3.6,4.4,5.2,5.9,6.6,7.3,8.1
5,3.8,4.7,5.5,6.2,7,7.8,8.5
6,4.1,5,5.8,6.6,7.4,8.2,9
7,4.3,5.2,6.1,7,7.8,8.7,9.5
8,4.5,5.5,6.4,7.3,8.2,9.2,10.1
9,4.8,5.9,6.8,7.8,8.8,9.7,10.7
10,5.1,6.3,7.3,8.3,9.3,10.4,11.4
11,5.4,6.6,7.7,8.8,9.9,11,12
12,5.8,7,8.2,9.3,10.5,11.6,12.8
13,6.2,7.5,8.7,10,11.2,12.4,13.6
14,6.6,8,9.3,10.6,11.9,13.2,14.6
15,7,8.5,9.9,11.2,12.6,14,15.4
16,7.3,8.9,10.3,11.8,13.2,14.7,16.2
17,7.6,9.2,10.7,12.2,13.7,15.2,16.7
18,7.7,9.4,10.9,12.5,14,15.6,17.1
