Public Food Key,Classification,Food Name,"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F009117,11101,"Tea, green, plain, without milk",7,7,95.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,780.0,,0.0,0.0,3,0.0,,,0.017,,0.0,0.00,1.8,2,0.440,,0.0,,1,19,0.0,1,,,0.05,0,0.007,0.058,0.03,,0.00,,0.0,0,0,0.00,0.0,,,,,,,,0.00,0.00,0.00,0.000,,0.0,0.00,0.00,0.00,0.000,,0.00,13,0
F009125,11101,"Tea, regular, black, brewed from leaf or teabags, without milk",1,1,99.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,1,0.3,0,,0.006,150.00,0.0,0.00,0.2,1,0.290,0.0,0.0,,2,17,0.0,0,0,0.0,0.01,0,0.000,0.000,0.00,0.00,0.00,0.0,0.0,4,0,0.00,0.0,,,,,,,,0.00,0.00,0.00,0.000,,0.0,0.00,0.00,0.00,0.000,,0.00,19,0
F009115,11103,"Tea, decaffeinated, black, brewed from leaf or teabags, without milk",6,6,99.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.3,0,,0.002,150.00,0.0,0.00,0.3,0,0.100,0.0,,,0,6,0.0,0,0,0.0,0.00,0,0.000,0.005,0.00,0.00,0.00,0.0,0.0,11,0,0.00,0.0,,,,,,,,0.00,0.00,0.00,0.000,,0.0,0.00,0.00,0.00,0.000,,0.00,0,0
F003017,11201,"Coffee, black, from instant coffee powder",5,4,99.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,10.6,,0.2,0.0,3,0.1,12,,0.035,80.69,0.8,0.03,0.6,4,0.324,0.0,0.0,,3,31,0.0,3,5,,0.01,0,0.000,0.000,0.25,,0.00,,0.0,0,0,0.00,0.0,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.000,,0.03,31,0
F003041,11201,"Coffee, espresso, from ground coffee beans",40,40,92.3,1.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11,0.0,,,0.042,,0.0,0.00,1.3,37,0.250,,0.0,,29,520,0.0,2,,,0.06,0,0.000,0.000,5.30,0.00,0.00,,0.0,0,0,0.00,0.0,,0.0,,0.0,,0.0,,0.00,47.90,38.60,0.000,,1.6,0.11,0.03,0.09,0.000,,3.84,290,0
F003065,11201,"Coffee, long black, from ground coffee beans",8,8,98.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,7.3,,0.1,0.0,3,0.0,,,0.036,,0.6,0.00,0.8,8,0.296,,0.0,,6,104,0.0,3,,,0.02,0,0.000,0.000,1.06,,0.00,,0.0,0,0,0.00,0.0,,0.0,,0.0,,0.0,,0.00,,,,,,0.02,0.00,0.02,0.000,,0.77,58,0
F009796,11202,"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk",195,195,89.5,2.8,2.5,0.0,0.0,3.4,0.0,3.4,0.0,,0.0,,95,,,,0.010,,21.0,0.00,0.0,16,0.065,,2.8,,86,220,2.0,29,,,0.37,24,0.000,0.110,0.54,0.23,0.00,,0.3,0,0,0.06,0.0,,0.0,,0.0,,0.0,,0.00,72.60,3.90,0.000,,1.8,1.72,0.49,0.09,0.000,,42.52,68,9
F003018,11203,"Coffee, black, from instant coffee powder, decaffeinated",5,3,99.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,10.6,,0.2,0.0,3,0.1,12,,0.035,80.69,0.8,0.03,0.6,4,0.324,0.0,0.0,,3,31,0.0,3,5,,0.01,0,0.000,0.000,0.25,,0.00,,0.0,0,0,0.00,0.0,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.000,,0.03,1,0
F003060,11205,"Coffee, instant, dry powder or granules",588,423,5.0,18.0,0.3,20.6,0.0,3.4,0.0,3.6,180.0,,1.1,0.0,150,6.5,740,,0.023,130.00,4.6,2.80,0.0,320,2.200,0.0,2.6,,360,"3,500",4.1,61,230,0.0,0.29,0,0.000,0.060,28.75,0.07,0.00,100.0,0.0,0,0,0.00,0.1,,,,,,,,0.09,47.90,38.60,0.000,,1.6,0.11,0.03,0.09,0.000,,3.84,"3,488",0
F003061,11205,"Coffee, instant, dry powder or granules, decaffeinated",522,357,5.0,18.0,0.3,20.6,0.0,2.3,0.0,2.5,180.0,,1.1,0.0,150,6.5,740,,0.023,130.00,4.6,2.80,0.0,320,2.200,0.0,2.6,,360,"3,500",4.1,61,230,0.0,0.29,0,0.000,0.060,28.75,0.07,0.00,100.0,0.0,0,0,0.00,0.1,,,,,,,,0.09,47.90,38.60,0.000,,1.6,0.11,0.03,0.09,0.000,,3.84,160,0
