Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F007879,31301,"Salt, table, non-iodised", $0.10 , $0.01 ,10,0,0,0.2,0,0,0,0,0,0,0,,,,,34,3.8,61200,,,,19.9,0,,1,,,0,5,3,17,2.6,38178,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F007878,31301,"Salt, table, iodised", $0.10 , $0.01 ,10,0,0,0.2,0,0,0,0,0,0,0,,,,,34,0,61200,,,,4400,0,,1,0.054,,0.2,2,3,98,1.9,38168,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008976,27101,"Sugar, white, granulated or lump", $0.11 , $2.20 ,2000,1600,1600,0,0,0,0,0,100,100,100,,0,0.2,0,1,0,,,0.001,,0,0,0,0,0,0,0,0,0,2,0,0,,,0,0,0,0,0,,0.01,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008973,27101,"Sugar, raw", $0.15 , $4.50 ,3000,1597,1597,0,0,0,0,0,99.8,99.8,99.8,,,0,0,7,,,,0,,0,0.3,0,3,0,0,,,0,21,0,1,,,0,0,0,0,0,,0.04,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006460,12401,"Pasta, white wheat flour, fresh, uncooked", $0.16 , $0.16 ,100,1168,1141,30.5,10.5,3.4,3.3,0,0.9,0,49.4,,,,,27,,420,,0.22,0,10,1.3,,33,0.85,,,,140,190,11,11,110,,0.7,0,0.17,0.11,3.89,0.56,0.09,5,0.3,16,0,0,0.2,,,,,,,,0.2,16.1,36.6,0.1,0,5.1,0.4,1.06,0.92,2.512,0,128.14,0,73
F006459,12401,"Pasta, white wheat flour, fresh, boiled, no added salt", $0.16 , $0.16 ,100,691,669,60.7,5.9,3,2.7,0,1.1,0,27.1,,,,,18,,120,,0.19,70,3.4,0.7,,18,0.47,,,,71,49,6,78,50,,0.4,0,0.08,0.05,1.91,0.21,0.04,2.3,0.1,7,0,0,0.2,,,,,,,,0.2,16.1,36.6,0.1,0,5.1,0.36,0.93,0.81,2.212,0,112.84,0,33
F006458,12401,"Pasta, white wheat flour, dry", $0.16 , $0.16 ,100,1458,1433,10.6,12.7,1.4,3.2,0,0,0,68.5,,,,,18,,90,,0.28,120,10,1,,30,1.1,,,,172,142,12,5,110,,0.6,0,0.07,0.06,3.56,0.3,0.1,4,0,16,0,0,0.3,0.1,0.1,1.1,0,0,0.7,0,0.37,25.14,60.8,0.025,0,0.2,0.24,0.14,0.58,0.238,0,1.62,0,0
F006456,12401,"Pasta, white wheat flour, boiled from dry, no added salt", $0.16 , $0.16 ,100,572,547,63,5.3,0.4,2.2,0,0.2,0,26.2,31.2,0,0,0.6,12,0.5,12,,0.141,,4.3,0.71,0,25,0.473,0,6.7,3,65,43,5.1,2,,,0.57,0,0.057,0.013,1.14,0.52,0,,0.3,15,0,0,0,,0,,0,,0,,0.01,25.1,60.28,0.02,0,0.4,0.06,0.04,0.14,0.047,0,0.85,0,0
F009222,24602,"Tomato, whole, canned in tomato juice, undrained", $0.19 , $1.88 ,1000,79,71,94,0.9,0,1,0,3,0,3,110,,0,0,20,9.8,,,0.085,,0.6,0.79,1.4,11,0.091,,2.2,,20,219,0,52,,,0.14,62,0.01,0.01,0.39,0.04,0.02,,0,19,5,0,1.1,,,,,,,,1.1,33.5,46.2,0,,0,0.01,0.01,0.02,0,,0,0,0
F009221,24602,"Tomato, whole, canned in tomato juice, drained", $0.19 , $1.88 ,1000,88,78,94,0.8,0.3,1.3,0,3,0,3,,,,,27,,,,0,,0,0.2,,9,0.04,,,,14,170,0.4,86,,,0.1,66,0,0,0.68,,0.03,,0,15,10,0,0.2,,,,,,,,0.2,0,0,0,,0,0,0,0,0,,0,0,0
